"model","strain","parameter","value","parameter_label"
"Mechanistic","SGTF","r",0.125412120593951,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.705467200437248,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",2.02801,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",4.11344139280447,"kappa"
"Mechanistic","SGTF","sigma_z",4.18660440146582,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.218886926468247,"lambda[1]"
"Mechanistic","SGTF","lambda_I",0.746732691943894,"lambda[I]"
"Mechanistic","SGTF","r",0.132642200196869,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.704836089757015,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",2.14446,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",4.69622972207753,"kappa"
"Mechanistic","SGTF","sigma_z",4.18221077390241,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.169329289713766,"lambda[1]"
"Mechanistic","SGTF","lambda_I",1.44175194129838,"lambda[I]"
"Mechanistic","SGTF","r",0.203357452228536,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.726868280587189,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",2.43535,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",6.98761991714147,"kappa"
"Mechanistic","SGTF","sigma_z",3.2458913611441,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.126486461532561,"lambda[1]"
"Mechanistic","SGTF","lambda_I",1.1967301948005,"lambda[I]"
"Mechanistic","SGTF","r",0.185717235732597,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.72968598129191,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",1.59047,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",2.0913274334804,"kappa"
"Mechanistic","SGTF","sigma_z",3.89899957110823,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.200988014912869,"lambda[1]"
"Mechanistic","SGTF","lambda_I",0.708234518016514,"lambda[I]"
"Mechanistic","SGTF","r",0.356161855917183,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.635376209256426,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",1.90161,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",15.2585499743288,"kappa"
"Mechanistic","SGTF","sigma_z",3.31905465529313,"sigma[z]"
"Mechanistic","SGTF","lambda1",1.30306606619488,"lambda[1]"
"Mechanistic","SGTF","lambda_I",1.02911025620587,"lambda[I]"
"Mechanistic","SGTF","r",0.731912725198452,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.704790981690744,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",2.12979,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",16.6831628790339,"kappa"
"Mechanistic","SGTF","sigma_z",3.27415558761797,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.0933247437468393,"lambda[1]"
"Mechanistic","SGTF","lambda_I",1.190193620273,"lambda[I]"
"Mechanistic","SGTF","r",0.569900781983797,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.731476635181968,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",2.06503,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",18.9954599383493,"kappa"
"Mechanistic","SGTF","sigma_z",4.27562375778949,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.635172286224652,"lambda[1]"
"Mechanistic","SGTF","lambda_I",0.392634156562816,"lambda[I]"
"Mechanistic","SGTF","r",0.459870661356083,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.660645428398358,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",2.06133,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",14.8644134914407,"kappa"
"Mechanistic","SGTF","sigma_z",3.66218513250354,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.150759413632664,"lambda[1]"
"Mechanistic","SGTF","lambda_I",2.4338491099052,"lambda[I]"
"Mechanistic","SGTF","r",0.422457258760179,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.671548526370464,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",2.11161,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",9.47616785654067,"kappa"
"Mechanistic","SGTF","sigma_z",3.43879115088492,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.0755394683285248,"lambda[1]"
"Mechanistic","SGTF","lambda_I",2.413879006894,"lambda[I]"
"Mechanistic","SGTF","r",0.311579735748446,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.632496241936807,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",2.05387,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",11.2311368844767,"kappa"
"Mechanistic","SGTF","sigma_z",4.07634192813175,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.0466412470275477,"lambda[1]"
"Mechanistic","SGTF","lambda_I",1.76782327210046,"lambda[I]"
"Mechanistic","SGTF","r",0.347663576844864,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.715797480853854,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",1.92632,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",9.07978033372929,"kappa"
"Mechanistic","SGTF","sigma_z",3.82003658577259,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.0616396467132153,"lambda[1]"
"Mechanistic","SGTF","lambda_I",0.930414214552939,"lambda[I]"
"Mechanistic","SGTF","r",0.176758656402783,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.704910806342438,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",2.00607,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",10.2987239581228,"kappa"
"Mechanistic","SGTF","sigma_z",3.45958970614773,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.323356451249156,"lambda[1]"
"Mechanistic","SGTF","lambda_I",0.424704774361074,"lambda[I]"
"Mechanistic","SGTF","r",0.355407592584269,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.756578487734008,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",2.12466,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",3.41893808022386,"kappa"
"Mechanistic","SGTF","sigma_z",4.06709912650367,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.207125580620948,"lambda[1]"
"Mechanistic","SGTF","lambda_I",0.958370914554871,"lambda[I]"
"Mechanistic","SGTF","r",0.337044604439837,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.762725558361795,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",2.29929,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",3.54178203429141,"kappa"
"Mechanistic","SGTF","sigma_z",4.31470950440864,"sigma[z]"
"Mechanistic","SGTF","lambda1",1.24979682737067,"lambda[1]"
"Mechanistic","SGTF","lambda_I",1.13124183689325,"lambda[I]"
"Mechanistic","SGTF","r",0.392966858572836,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.774883177268069,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",2.29224,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",1.67066875773166,"kappa"
"Mechanistic","SGTF","sigma_z",3.16103656276042,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.722635018238578,"lambda[1]"
"Mechanistic","SGTF","lambda_I",1.16219446717543,"lambda[I]"
"Mechanistic","SGTF","r",0.272859027487057,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.801251819438306,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",2.4874,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",2.38575348244549,"kappa"
"Mechanistic","SGTF","sigma_z",3.59042291793318,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.949938151681531,"lambda[1]"
"Mechanistic","SGTF","lambda_I",2.14587200734559,"lambda[I]"
"Mechanistic","SGTF","r",0.180930916023974,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.758238726736299,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",2.59634,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",4.57405445104701,"kappa"
"Mechanistic","SGTF","sigma_z",3.33435747621162,"sigma[z]"
"Mechanistic","SGTF","lambda1",1.0575985298151,"lambda[1]"
"Mechanistic","SGTF","lambda_I",2.38201555228811,"lambda[I]"
"Mechanistic","SGTF","r",0.349699872329032,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.65374886483145,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",2.348,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",2.29500265414033,"kappa"
"Mechanistic","SGTF","sigma_z",3.4984149692778,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.585594329273253,"lambda[1]"
"Mechanistic","SGTF","lambda_I",1.34834916037546,"lambda[I]"
