"model","strain","parameter","value"
"Mechanistic","SGTF","kappa",1.74580889780817
"Mechanistic","SGTF","sigma_z",4.34884372751392
"Mechanistic","SGTF","lambda1",0.0739489713497374
"Mechanistic","SGTF","lambda_I",0.509626079306739
"Mechanistic","SGTF","r",0.140134864809498
"Mechanistic","SGTF","d",0.752382831598058
"Mechanistic","SGTF","m",1.94238
"Mechanistic","SGTF","kappa",3.83258687699978
"Mechanistic","SGTF","sigma_z",4.44811317213376
"Mechanistic","SGTF","lambda1",0.188401491538536
"Mechanistic","SGTF","lambda_I",0.493919366907722
"Mechanistic","SGTF","r",0.16733290629227
"Mechanistic","SGTF","d",0.819023092136248
"Mechanistic","SGTF","m",2.5499
"Mechanistic","SGTF","kappa",7.92410991586345
"Mechanistic","SGTF","sigma_z",4.44246765406793
"Mechanistic","SGTF","lambda1",0.77549402585449
"Mechanistic","SGTF","lambda_I",1.88049304417828
"Mechanistic","SGTF","r",0.164485970192087
"Mechanistic","SGTF","d",0.774661592367521
"Mechanistic","SGTF","m",2.37851
"Mechanistic","SGTF","kappa",2.01034027743724
"Mechanistic","SGTF","sigma_z",3.98688410597675
"Mechanistic","SGTF","lambda1",0.23087934983281
"Mechanistic","SGTF","lambda_I",1.18690965418853
"Mechanistic","SGTF","r",0.295076687145415
"Mechanistic","SGTF","d",0.696912788607037
"Mechanistic","SGTF","m",2.17497
"Mechanistic","SGTF","kappa",6.47274315928198
"Mechanistic","SGTF","sigma_z",3.82825849982245
"Mechanistic","SGTF","lambda1",0.264546034327868
"Mechanistic","SGTF","lambda_I",1.08943117257306
"Mechanistic","SGTF","r",0.381899421326718
"Mechanistic","SGTF","d",0.721798691214262
"Mechanistic","SGTF","m",2.1861
"Mechanistic","SGTF","kappa",7.88119860865563
"Mechanistic","SGTF","sigma_z",4.11768042016338
"Mechanistic","SGTF","lambda1",0.325702790186125
"Mechanistic","SGTF","lambda_I",1.14004530175678
"Mechanistic","SGTF","r",0.329720484536132
"Mechanistic","SGTF","d",0.682629517975217
"Mechanistic","SGTF","m",1.67833
"Mechanistic","SGTF","kappa",2.0223192573517
"Mechanistic","SGTF","sigma_z",2.4251272566945
"Mechanistic","SGTF","lambda1",0.880799730099727
"Mechanistic","SGTF","lambda_I",1.17356602729891
"Mechanistic","SGTF","r",0.415450419135729
"Mechanistic","SGTF","d",0.624994143306026
"Mechanistic","SGTF","m",1.85671
"Mechanistic","SGTF","kappa",2.01092134973832
"Mechanistic","SGTF","sigma_z",2.9861651330026
"Mechanistic","SGTF","lambda1",0.755986318642566
"Mechanistic","SGTF","lambda_I",2.08443951215058
"Mechanistic","SGTF","r",0.276365780229764
"Mechanistic","SGTF","d",0.68974452746571
"Mechanistic","SGTF","m",2.37228
"Mechanistic","SGTF","kappa",4.13356404614144
"Mechanistic","SGTF","sigma_z",2.89443520868304
"Mechanistic","SGTF","lambda1",0.690777157493473
"Mechanistic","SGTF","lambda_I",2.12306117996458
"Mechanistic","SGTF","r",0.166421758321439
"Mechanistic","SGTF","d",0.663556682047755
"Mechanistic","SGTF","m",2.35635
"Mechanistic","SGTF","kappa",4.53329931499264
"Mechanistic","SGTF","sigma_z",3.7755648475582
"Mechanistic","SGTF","lambda1",0.849815510097491
"Mechanistic","SGTF","lambda_I",1.8060479409157
"Mechanistic","SGTF","r",0.137917444651119
"Mechanistic","SGTF","d",0.640680747470287
"Mechanistic","SGTF","m",2.40205
"Mechanistic","SGTF","kappa",4.67350815227123
"Mechanistic","SGTF","sigma_z",3.75181603965772
"Mechanistic","SGTF","lambda1",0.324207998009092
"Mechanistic","SGTF","lambda_I",0.876012428816243
"Mechanistic","SGTF","r",0.457785291792346
"Mechanistic","SGTF","d",0.900926140285293
"Mechanistic","SGTF","m",2.08927
"Mechanistic","SGTF","kappa",1.19494361479704
"Mechanistic","SGTF","sigma_z",4.43656309948719
"Mechanistic","SGTF","lambda1",0.265112769031178
"Mechanistic","SGTF","lambda_I",0.851175452081995
"Mechanistic","SGTF","r",0.529324295490139
"Mechanistic","SGTF","d",0.896001671944017
"Mechanistic","SGTF","m",2.1035
"Mechanistic","SGTF","kappa",1.22872248554919
"Mechanistic","SGTF","sigma_z",4.43713989018071
"Mechanistic","SGTF","lambda1",0.597243724593565
"Mechanistic","SGTF","lambda_I",1.57025652855979
"Mechanistic","SGTF","r",0.302558691150052
"Mechanistic","SGTF","d",0.792379369467162
"Mechanistic","SGTF","m",2.29692
"Mechanistic","SGTF","kappa",1.83783454345787
"Mechanistic","SGTF","sigma_z",4.02800010127876
"Mechanistic","SGTF","lambda1",0.886093325856916
"Mechanistic","SGTF","lambda_I",1.3802049463636
"Mechanistic","SGTF","r",0.317924927854981
"Mechanistic","SGTF","d",0.813912835832551
"Mechanistic","SGTF","m",2.14556
"Mechanistic","SGTF","kappa",1.94614014864205
"Mechanistic","SGTF","sigma_z",4.09055230976457
"Mechanistic","SGTF","lambda1",0.658744848019771
"Mechanistic","SGTF","lambda_I",1.0237125762895
"Mechanistic","SGTF","r",0.267707583635042
"Mechanistic","SGTF","d",0.753325404830938
"Mechanistic","SGTF","m",2.36396
"Mechanistic","SGTF","kappa",1.8145998952007
"Mechanistic","SGTF","sigma_z",4.26047220337071
"Mechanistic","SGTF","lambda1",0.31092610485602
"Mechanistic","SGTF","lambda_I",1.41454086300644
"Mechanistic","SGTF","r",0.312494003121816
"Mechanistic","SGTF","d",0.709304759968038
"Mechanistic","SGTF","m",2.16087
"Mechanistic","SGTF","kappa",3.06093369957045
"Mechanistic","SGTF","sigma_z",3.05014765218492
"Mechanistic","SGTF","lambda1",0.0748791349023398
"Mechanistic","SGTF","lambda_I",1.33892760663365
"Mechanistic","SGTF","r",0.198312739886624
