"group","parameter","value"
"Omicron posterior","sigma_z",3.77062209581714
"Omicron posterior","lambda1",1.49847960888853
"Omicron posterior","lambda_I",3.95341593948588
"Omicron posterior","r",0.30243769187506
"Omicron posterior","d",0.699780895054968
"Omicron posterior","m",2.37753
"Omicron posterior","kappa",1.93729176434062
"Omicron posterior","sigma_z",2.6962771817849
"Omicron posterior","lambda1",1.2511335745432
"Omicron posterior","lambda_I",2.67513273586231
"Omicron posterior","r",0.273030982834621
"Omicron posterior","d",0.64316562902908
"Omicron posterior","m",2.14243
"Omicron posterior","kappa",2.18054097568536
"Omicron posterior","sigma_z",3.44164653235955
"Omicron posterior","lambda1",0.940851653066889
"Omicron posterior","lambda_I",2.72923131513199
"Omicron posterior","r",0.339205215261933
