n_pairs,rep_id,true_mean_gen,true_sd_gen,mean_gen_median,mean_gen_q05,mean_gen_q95,mean_gen_error,mean_gen_abs_error,mean_gen_ci_width,mean_gen_covered,sd_gen_median,sd_gen_q05,sd_gen_q95,sd_gen_error,sd_gen_abs_error,sd_gen_ci_width,sd_gen_covered,max_rhat,min_ess_bulk,min_ess_tail,n_divergent
30,28,5.060354079778466,2.427456447399629,4.697205,3.964999,5.635756499999999,-0.36314907977846556,0.36314907977846556,1.6707574999999992,TRUE,2.073795,1.5914475000000001,2.862028,-0.3536614473996291,0.3536614473996291,1.2705805,TRUE,1.0106501699853527,620.2013044951691,439.4908487734673,0
30,29,5.060354079778466,2.427456447399629,4.729725,3.8650270000000004,5.7720185,-0.3306290797784657,0.3306290797784657,1.9069914999999993,TRUE,2.262455,1.7694845000000001,3.1532109999999998,-0.16500144739962908,0.16500144739962908,1.3837264999999996,TRUE,1.024476984741847,308.8629107411045,211.4787936380418,0
30,30,5.060354079778466,2.427456447399629,4.218920000000001,3.4008105,5.1415405,-0.8414340797784652,0.8414340797784652,1.7407299999999997,TRUE,2.17448,1.7169215,3.0471939999999997,-0.2529764473996292,0.2529764473996292,1.3302724999999997,TRUE,1.0267935571317617,528.7675779045519,360.81986823479656,0
30,31,5.060354079778466,2.427456447399629,5.074125,4.2070595,6.1550345,0.013770920221534588,0.013770920221534588,1.9479750000000005,TRUE,2.460215,1.908387,3.3661359999999996,0.03275855260037064,0.03275855260037064,1.4577489999999995,TRUE,1.0177993989742997,473.3127319518475,338.7089760649541,0
30,32,5.060354079778466,2.427456447399629,4.129245,3.289458,5.123594,-0.9311090797784658,0.9311090797784658,1.8341359999999995,TRUE,2.366425,1.857975,3.100637,-0.06103144739962918,0.06103144739962918,1.242662,TRUE,1.0132857988694088,513.700857648695,271.3970210133438,0
30,33,5.060354079778466,2.427456447399629,5.449185,4.5080625,6.4869025,0.3888309202215341,0.3888309202215341,1.97884,TRUE,2.365225,1.8216425,3.2179214999999997,-0.06223144739962905,0.06223144739962905,1.3962789999999996,TRUE,1.0133466971899832,529.3291960478834,277.7263155042371,0
30,34,5.060354079778466,2.427456447399629,4.388525,3.650398,5.246074,-0.6718290797784663,0.6718290797784663,1.595676,TRUE,2.1219900000000003,1.6573309999999999,2.969871,-0.3054664473996289,0.3054664473996289,1.31254,TRUE,1.0208412236630162,310.9446989807411,317.86042794153184,0
30,35,5.060354079778466,2.427456447399629,5.32042,4.2164304999999995,6.8018535,0.2600659202215345,0.2600659202215345,2.5854230000000005,TRUE,3.07333,2.350709,4.1823879999999996,0.6458735526003707,0.6458735526003707,1.8316789999999994,TRUE,1.010098086788016,535.4702337101863,288.64939172007934,0
30,36,5.060354079778466,2.427456447399629,5.30506,4.3464945,6.4455645,0.24470592022153426,0.24470592022153426,2.0990699999999993,TRUE,2.6458700000000004,2.058541,3.714201,0.2184135526003712,0.2184135526003712,1.6556600000000001,TRUE,1.014944070381531,512.962468096781,274.921295405354,0
30,37,5.060354079778466,2.427456447399629,5.613265,4.597405500000001,7.012928,0.5529109202215343,0.5529109202215343,2.415522499999999,TRUE,2.885565,2.221565,4.101111499999999,0.458108552600371,0.458108552600371,1.8795464999999991,TRUE,1.0149480617432063,478.61607914072164,279.05419204310033,0
30,38,5.060354079778466,2.427456447399629,4.199865000000001,3.4378339999999996,5.1223624999999995,-0.860489079778465,0.860489079778465,1.6845284999999999,TRUE,2.114345,1.676166,2.8155754999999996,-0.31311144739962904,0.31311144739962904,1.1394094999999995,TRUE,1.0060379938146489,519.2069066228012,438.1677102168467,0
30,39,5.060354079778466,2.427456447399629,5.01926,4.051519,6.194304499999999,-0.0410940797784658,0.0410940797784658,2.1427854999999996,TRUE,2.97233,2.3067374999999997,3.920877,0.5448735526003707,0.5448735526003707,1.6141395000000003,TRUE,1.0106168766210195,527.9434703250026,238.67317825817463,0
30,40,5.060354079778466,2.427456447399629,5.088585,4.1967445,6.127783999999999,0.028230920221534284,0.028230920221534284,1.931039499999999,TRUE,2.42191,1.8702355,3.3935635,-0.005546447399629173,0.005546447399629173,1.523328,TRUE,1.0093917014976725,458.92007206111657,373.2091382349194,0
30,41,5.060354079778466,2.427456447399629,5.504955,4.594063,6.5256605,0.44460092022153397,0.44460092022153397,1.9315974999999996,TRUE,2.45425,1.861152,3.462977,0.026793552600370862,0.026793552600370862,1.601825,TRUE,1.0067603069172264,556.0411229900169,451.6694919374474,0
30,42,5.060354079778466,2.427456447399629,4.99214,3.998819,6.206958500000001,-0.06821407977846583,0.06821407977846583,2.2081395000000006,TRUE,2.470005,1.9135300000000002,3.544271999999999,0.042548552600370826,0.042548552600370826,1.6307419999999988,TRUE,1.0155087485486218,516.842230076077,333.55813594170513,0
30,43,5.060354079778466,2.427456447399629,5.1865749999999995,4.281811499999999,6.210308499999999,0.12622092022153364,0.12622092022153364,1.9284970000000001,TRUE,2.26647,1.7390965,3.2314105,-0.1609864473996292,0.1609864473996292,1.492314,TRUE,1.0106355675620862,341.27851514924157,168.6321856509324,0
30,44,5.060354079778466,2.427456447399629,5.827665,4.923413,6.8546605,0.7673109202215338,0.7673109202215338,1.9312474999999996,TRUE,2.3586650000000002,1.64755,3.3453315,-0.06879144739962895,0.06879144739962895,1.6977814999999998,TRUE,1.0180296444852688,409.9318166921267,252.52431535234385,0
30,45,5.060354079778466,2.427456447399629,4.90887,4.0101705,6.044567,-0.15148407977846556,0.15148407977846556,2.0343964999999997,TRUE,2.584455,1.9426215,3.6429534999999995,0.156998552600371,0.156998552600371,1.7003319999999995,TRUE,1.0128385549808765,312.37771792888714,228.34111525029303,0
30,46,5.060354079778466,2.427456447399629,4.914585,3.9590875,5.947301,-0.1457690797784661,0.1457690797784661,1.9882135000000005,TRUE,2.45955,1.79507,3.558748499999999,0.032093552600370945,0.032093552600370945,1.7636784999999993,TRUE,1.0110423863390243,454.1789990051332,287.37587798965023,0
30,47,5.060354079778466,2.427456447399629,5.484935,4.5601104999999995,6.575791,0.42458092022153426,0.42458092022153426,2.0156805,TRUE,2.3894599999999997,1.776538,3.550877,-0.037996447399629485,0.037996447399629485,1.7743389999999999,TRUE,1.0123508978216595,437.22506839086543,206.49899652440615,0
