model,strain,mean_gen,sd_gen,strain_label
Lognormal,SGTF,2.9815551,1.3737566,Omicron
Lognormal,SGTF,2.8774183,1.4671207,Omicron
Lognormal,SGTF,2.8347816,1.3239361,Omicron
Lognormal,SGTF,2.8643688,1.192047,Omicron
Lognormal,SGTF,2.8790159,1.207188,Omicron
Lognormal,SGTF,2.8259281,1.3445187,Omicron
Lognormal,SGTF,3.0916821,1.8460757,Omicron
Lognormal,SGTF,2.7972247,1.0972295,Omicron
Lognormal,SGTF,2.8118562,1.1267941,Omicron
Lognormal,SGTF,2.7862203,1.0489099,Omicron
Lognormal,SGTF,2.9323841,1.2842399,Omicron
Lognormal,SGTF,2.9203902,1.2249264,Omicron
Lognormal,SGTF,3.0067577,1.2022733,Omicron
Lognormal,SGTF,3.0062493,1.4589941,Omicron
Lognormal,SGTF,2.9179474,1.733292,Omicron
Lognormal,SGTF,3.0024608,1.3374872,Omicron
Lognormal,SGTF,3.0133743,1.5827027,Omicron
Lognormal,SGTF,3.0861259,1.5032064,Omicron
Lognormal,SGTF,3.0200049,1.525473,Omicron
Lognormal,SGTF,2.9778029,1.3714336,Omicron
Lognormal,SGTF,3.039881,1.4061159,Omicron
Lognormal,SGTF,2.8461135,1.5692351,Omicron
Lognormal,SGTF,2.9954013,1.9139952,Omicron
Lognormal,SGTF,3.028526,1.7324278,Omicron
Lognormal,SGTF,2.9247569,1.593167,Omicron
Lognormal,SGTF,3.1221065,2.0259774,Omicron
Lognormal,SGTF,3.0182734,1.3751531,Omicron
Lognormal,SGTF,2.9891603,1.2674377,Omicron
Lognormal,SGTF,3.0201518,1.7554498,Omicron
Lognormal,SGTF,3.0490386,1.9219975,Omicron
Lognormal,SGTF,2.9606098,1.2228716,Omicron
Lognormal,SGTF,2.9334029,1.2171164,Omicron
Lognormal,SGTF,3.1669162,1.3366273,Omicron
Lognormal,SGTF,3.3682177,2.2914616,Omicron
Lognormal,SGTF,3.2483521,2.0773578,Omicron
Lognormal,SGTF,3.1731452,2.0004021,Omicron
Lognormal,SGTF,2.8445947,1.3474812,Omicron
Lognormal,SGTF,2.9912726,1.4362204,Omicron
Lognormal,SGTF,3.1179401,1.864142,Omicron
Lognormal,SGTF,2.7400495,1.3294404,Omicron
Lognormal,SGTF,2.7826767,1.4258888,Omicron
Lognormal,SGTF,2.9152916,1.6876051,Omicron
Lognormal,SGTF,2.7811882,1.4629539,Omicron
Lognormal,SGTF,3.1813157,1.9812209,Omicron
Lognormal,SGTF,2.8533475,1.0409753,Omicron
Lognormal,SGTF,3.0296233,1.4800414,Omicron
Lognormal,SGTF,2.9545359,1.4685942,Omicron
Lognormal,SGTF,2.6368934,1.1502419,Omicron
Lognormal,SGTF,3.3392846,2.1182951,Omicron
Lognormal,SGTF,2.9485946,1.5400573,Omicron
Lognormal,SGTF,2.9661214,1.4390779,Omicron
Lognormal,SGTF,3.0564397,1.4989251,Omicron
Lognormal,SGTF,2.7893221,1.1148098,Omicron
Lognormal,SGTF,2.8158716,1.1023546,Omicron
Lognormal,SGTF,2.7327572,1.0669423,Omicron
Lognormal,SGTF,2.8048247,1.0896123,Omicron
Lognormal,SGTF,2.8026577,1.0821958,Omicron
Lognormal,SGTF,2.9252334,1.5586625,Omicron
Lognormal,SGTF,2.9853631,1.4057485,Omicron
Lognormal,SGTF,3.0090982,1.3387554,Omicron
Lognormal,SGTF,2.9754294,1.7300126,Omicron
Lognormal,SGTF,2.9344931,1.594041,Omicron
Lognormal,SGTF,2.9088151,1.6792225,Omicron
Lognormal,SGTF,3.0168316,1.334514,Omicron
Lognormal,SGTF,3.0610664,1.6316058,Omicron
Lognormal,SGTF,2.9054564,1.4144758,Omicron
Lognormal,SGTF,3.0651327,1.5580488,Omicron
Lognormal,SGTF,2.9394249,1.2615653,Omicron
Lognormal,SGTF,2.9445636,1.6358598,Omicron
Lognormal,SGTF,2.9247874,1.625226,Omicron
Lognormal,SGTF,3.0347233,1.8176892,Omicron
Lognormal,SGTF,2.9091699,1.5793186,Omicron
Lognormal,SGTF,3.006582,1.8512369,Omicron
Lognormal,SGTF,2.9017816,1.4757447,Omicron
Lognormal,SGTF,3.1265776,1.3592168,Omicron
Lognormal,SGTF,2.8817822,1.4044313,Omicron
Lognormal,SGTF,2.8649794,1.0584637,Omicron
Lognormal,SGTF,3.1170654,1.7139507,Omicron
Lognormal,SGTF,2.9380968,1.5322644,Omicron
Lognormal,SGTF,3.0461073,1.3620815,Omicron
Lognormal,SGTF,2.7124864,1.2308099,Omicron
Lognormal,SGTF,2.7123894,1.3820762,Omicron
Lognormal,SGTF,2.7003595,1.3018364,Omicron
Lognormal,SGTF,2.7298033,1.0768202,Omicron
Lognormal,SGTF,2.7521576,1.0942996,Omicron
Lognormal,SGTF,2.7787989,1.074984,Omicron
Lognormal,SGTF,3.0361866,1.9525302,Omicron
Lognormal,SGTF,2.9523886,1.8609299,Omicron
Lognormal,SGTF,2.7150281,1.2900733,Omicron
Lognormal,SGTF,2.9885089,1.4522079,Omicron
Lognormal,SGTF,3.0788987,1.6746868,Omicron
Lognormal,SGTF,3.0320388,1.5436279,Omicron
Lognormal,SGTF,3.0894404,1.4159728,Omicron
Lognormal,SGTF,2.8765098,1.3331437,Omicron
Lognormal,SGTF,3.0123553,1.7083827,Omicron
Lognormal,SGTF,2.8915268,1.0041755,Omicron
Lognormal,SGTF,3.1677398,2.1742463,Omicron
Lognormal,SGTF,2.8796573,1.2652192,Omicron
Lognormal,SGTF,2.8349533,1.3685377,Omicron
Lognormal,SGTF,2.8145923,1.336625,Omicron
Lognormal,SGTF,2.8389365,1.2460275,Omicron
Lognormal,SGTF,2.9120541,1.591518,Omicron
Lognormal,SGTF,3.0094358,1.498817,Omicron
Lognormal,SGTF,2.9850093,1.6734247,Omicron
Lognormal,SGTF,2.9797803,1.5399536,Omicron
Lognormal,SGTF,3.1180623,1.5412859,Omicron
Lognormal,SGTF,3.0823452,1.7852837,Omicron
Lognormal,SGTF,3.0489921,1.8251286,Omicron
Lognormal,SGTF,3.0526286,1.8209256,Omicron
Lognormal,SGTF,2.980998,1.3446941,Omicron
Lognormal,SGTF,2.9871267,1.3603459,Omicron
Lognormal,SGTF,3.0971655,1.9061057,Omicron
Lognormal,SGTF,3.1002042,2.0629759,Omicron
Lognormal,SGTF,3.1067388,2.0603729,Omicron
Lognormal,SGTF,2.9661659,1.3426181,Omicron
Lognormal,SGTF,2.9736804,1.5944209,Omicron
Lognormal,SGTF,2.9599733,1.5305209,Omicron
Lognormal,SGTF,3.0427097,1.430456,Omicron
Lognormal,SGTF,3.1663861,1.6930993,Omicron
Lognormal,SGTF,3.0219212,1.4058137,Omicron
Lognormal,SGTF,3.0955569,1.785491,Omicron
Lognormal,SGTF,3.1378219,1.6881676,Omicron
Lognormal,SGTF,3.2512321,1.7163962,Omicron
Lognormal,SGTF,3.2676715,1.6233521,Omicron
Lognormal,SGTF,2.8057184,1.3585559,Omicron
Lognormal,SGTF,2.6631997,1.0991511,Omicron
Lognormal,SGTF,3.2724679,2.1193515,Omicron
Lognormal,SGTF,2.7083627,1.2842214,Omicron
Lognormal,SGTF,2.8878009,1.648022,Omicron
Lognormal,SGTF,2.973102,1.8058089,Omicron
Lognormal,SGTF,2.9156026,1.4058729,Omicron
Lognormal,SGTF,2.9356344,1.6074371,Omicron
Lognormal,SGTF,2.7579879,1.2737871,Omicron
Lognormal,SGTF,2.9904144,1.3912393,Omicron
Lognormal,SGTF,3.0287454,1.4909866,Omicron
Lognormal,SGTF,2.944528,1.1788792,Omicron
Lognormal,SGTF,3.0044047,1.2258708,Omicron
Lognormal,SGTF,2.9620501,1.1973966,Omicron
Lognormal,SGTF,2.982093,1.2951083,Omicron
Lognormal,SGTF,2.9844446,1.5657896,Omicron
Lognormal,SGTF,3.1466221,1.8083646,Omicron
Lognormal,SGTF,3.108103,1.7495315,Omicron
Lognormal,SGTF,2.9279732,1.2083961,Omicron
Lognormal,SGTF,3.026098,1.6216435,Omicron
Lognormal,SGTF,3.0868465,1.6980045,Omicron
Lognormal,SGTF,3.1557124,1.942383,Omicron
Lognormal,SGTF,3.0087173,1.246724,Omicron
Lognormal,SGTF,3.1049822,1.7588183,Omicron
Lognormal,SGTF,2.9437729,1.1749809,Omicron
Lognormal,SGTF,3.0459181,1.5009646,Omicron
Lognormal,SGTF,3.0376961,1.5063418,Omicron
Lognormal,SGTF,2.7910798,1.3051257,Omicron
Lognormal,SGTF,2.8234162,1.3553843,Omicron
Lognormal,SGTF,2.9212857,1.1882817,Omicron
Lognormal,SGTF,3.1123912,2.2807218,Omicron
Lognormal,SGTF,3.0740682,2.1737632,Omicron
Lognormal,SGTF,3.0270557,1.3028471,Omicron
Lognormal,SGTF,2.9069879,1.3729861,Omicron
Lognormal,SGTF,2.9508662,1.2804258,Omicron
Lognormal,SGTF,2.956617,1.259801,Omicron
Lognormal,SGTF,2.7321535,1.1407184,Omicron
Lognormal,SGTF,3.1826376,1.5734983,Omicron
Lognormal,SGTF,3.1004918,1.4729683,Omicron
Lognormal,SGTF,2.8776377,1.4795443,Omicron
Lognormal,SGTF,3.1139677,2.0925336,Omicron
Lognormal,SGTF,2.9068465,1.6935214,Omicron
Lognormal,SGTF,2.8688237,1.6451232,Omicron
Lognormal,SGTF,2.8933372,1.6719069,Omicron
Lognormal,SGTF,3.0643601,1.7148897,Omicron
Lognormal,SGTF,2.9702162,1.4251199,Omicron
Lognormal,SGTF,3.0019863,1.5206822,Omicron
Lognormal,SGTF,2.91548,1.4569058,Omicron
Lognormal,SGTF,2.9330112,1.437757,Omicron
Lognormal,SGTF,2.8839284,1.1904562,Omicron
Lognormal,SGTF,3.2239295,2.0123689,Omicron
Lognormal,SGTF,3.0336247,1.6349053,Omicron
Lognormal,SGTF,2.9391794,1.6146218,Omicron
Lognormal,SGTF,3.1036276,1.8696108,Omicron
Lognormal,SGTF,3.0991277,1.8189969,Omicron
Lognormal,SGTF,3.0282289,1.2254978,Omicron
Lognormal,SGTF,2.9302609,1.4884296,Omicron
