"model","strain","mean_gen","sd_gen"
"Lognormal","SGTF",2.7298033,1.0768202
"Lognormal","SGTF",2.7521576,1.0942996
"Lognormal","SGTF",2.7787989,1.074984
"Lognormal","SGTF",3.0361866,1.9525302
"Lognormal","SGTF",2.9523886,1.8609299
"Lognormal","SGTF",2.7150281,1.2900733
"Lognormal","SGTF",2.9885089,1.4522079
"Lognormal","SGTF",3.0788987,1.6746868
"Lognormal","SGTF",3.0320388,1.5436279
"Lognormal","SGTF",3.0894404,1.4159728
"Lognormal","SGTF",2.8765098,1.3331437
"Lognormal","SGTF",3.0123553,1.7083827
"Lognormal","SGTF",2.8915268,1.0041755
"Lognormal","SGTF",3.1677398,2.1742463
"Lognormal","SGTF",2.8796573,1.2652192
"Lognormal","SGTF",2.8349533,1.3685377
"Lognormal","SGTF",2.8145923,1.336625
"Lognormal","SGTF",2.8389365,1.2460275
"Lognormal","SGTF",2.9120541,1.591518
"Lognormal","SGTF",3.0094358,1.498817
"Lognormal","SGTF",2.9850093,1.6734247
"Lognormal","SGTF",2.9797803,1.5399536
"Lognormal","SGTF",3.1180623,1.5412859
"Lognormal","SGTF",3.0823452,1.7852837
"Lognormal","SGTF",3.0489921,1.8251286
"Lognormal","SGTF",3.0526286,1.8209256
"Lognormal","SGTF",2.980998,1.3446941
"Lognormal","SGTF",2.9871267,1.3603459
"Lognormal","SGTF",3.0971655,1.9061057
"Lognormal","SGTF",3.1002042,2.0629759
"Lognormal","SGTF",3.1067388,2.0603729
"Lognormal","SGTF",2.9661659,1.3426181
"Lognormal","SGTF",2.9736804,1.5944209
"Lognormal","SGTF",2.9599733,1.5305209
"Lognormal","SGTF",3.0427097,1.430456
"Lognormal","SGTF",3.1663861,1.6930993
"Lognormal","SGTF",3.0219212,1.4058137
"Lognormal","SGTF",3.0955569,1.785491
"Lognormal","SGTF",3.1378219,1.6881676
"Lognormal","SGTF",3.2512321,1.7163962
"Lognormal","SGTF",3.2676715,1.6233521
"Lognormal","SGTF",2.8057184,1.3585559
"Lognormal","SGTF",2.6631997,1.0991511
"Lognormal","SGTF",3.2724679,2.1193515
"Lognormal","SGTF",2.7083627,1.2842214
"Lognormal","SGTF",2.8878009,1.648022
"Lognormal","SGTF",2.973102,1.8058089
"Lognormal","SGTF",2.9156026,1.4058729
